project_no,project_name,agency,project_code,legacy_ocms_code,state,original_approval_date,revised_approval_date,original_target_date,revised_target_date,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,source_pdf_page,snapshot_date,source_url,cost_overrun,cost_overrun_pct,time_overrun,time_overrun_months,project_age_months,planned_duration_months,months_to_original_target,expenditure_ratio_pct,snapshot_month,snapshot_date_convention,modeling_note
1,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],612786,N04000106,Andhra Pradesh,03/2023,01/2024,01/2026,05/2026,265.91,265.91,120.19,60.0,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,1,4,36,34,-2,45.1995,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
2,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],701107,N04000091,Andhra Pradesh,06/2020,09/2020,09/2022,07/2026,611.8,611.8,523.14,87.2,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,1,46,69,27,-42,85.5083,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
3,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],701121,N04000103,Andhra Pradesh,12/2022,08/2023,08/2025,04/2026,347.15,347.15,165.11,86.0,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,1,8,39,32,-7,47.5616,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
4,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,706724,N04000083,Assam,12/2016,03/2018,03/2025,06/2026,1712.0,2520.0,2602.19,97.0,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,1,47.1963,1,15,111,99,-12,151.9971,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
5,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],612183,-,Bihar,08/2024,04/2025,03/2027,,1413.0,1413.0,7.64,1.28,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,,,19,31,12,0.5407,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
6,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],612194,N04000112,Bihar,07/2024,07/2024,07/2026,,911.66,911.66,352.16,61.0,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,,,20,24,4,38.6284,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
7,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],701101,N04000082,Bihar,10/2018,10/2018,05/2026,05/2026,1216.9,1216.9,1196.4,98.04,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,0,0,89,91,2,98.3154,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
8,Goa Airport Terminal Building Extension Project,Airport Authority of India [AAI],701105,N04000095,Goa,11/2017,12/2019,12/2021,04/2026,255.69,255.69,156.7,99.75,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,1,52,100,49,-51,61.2851,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
9,Development of Keshod Airport.,Airport Authority of India [AAI],619054,-,Gujarat,NA,07/2025,01/2027,,363.1,363.1,87.88,28.0,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,,,,,10,24.2027,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
10,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],701126,N04000099,Gujarat,06/2022,07/2022,06/2026,06/2026,1305.0,1551.0,874.24,81.0,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,1,18.8506,0,0,45,48,3,66.9916,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
11,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],611047,N04000107,Jammu and Kashmir,10/2023,12/2023,06/2026,11/2026,861.37,861.37,316.6,48.1,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,1,5,29,32,3,36.7554,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
12,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],612787,N04000108,Karnataka,06/2023,01/2024,01/2026,06/2026,320.47,320.47,141.4,72.5,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,1,5,33,31,-2,44.1227,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
13,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],612788,N04000105,Karnataka,06/2023,02/2024,02/2026,04/2026,322.45,322.45,198.0,82.0,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,1,2,33,32,-1,61.4049,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
14,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Airport Authority of India [AAI],612789,N04000111,Kerala,06/2023,02/2024,09/2025,12/2026,484.57,484.57,204.6,55.0,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,1,15,33,27,-6,42.2230,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
15,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],400010,N04000078,Ladakh,07/2018,09/2018,09/2021,07/2026,480.0,640.0,501.81,78.7,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,1,33.3333,1,58,92,38,-54,104.5438,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
16,C/o NITB Imphal Airport,Airport Authority of India [AAI],706718,N04000100,Manipur,11/2021,07/2022,07/2024,12/2026,499.0,499.0,201.99,49.33,55,2026-03-31,https://ipm.mospi.gov.in/Content/PDF/FlashReport_March_2026.pdf,0,0.0000,1,29,52,32,-20,40.4790,2026-03,2026-03-01,"Retrospective March 2026 snapshot; use revised cost/date only as outcome labels, not predictive features."
